Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ABCAPITAL,35098,OPTSTK,CE,300,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL 300 CE,ABCAPITAL31JUL25C300,2025-07-31,3100,0.05
NFO,nse_fo,ABCAPITAL,35101,OPTSTK,PE,300,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL 300 PE,ABCAPITAL31JUL25P300,2025-07-31,3100,0.05
NFO,nse_fo,ABCAPITAL,35184,OPTSTK,CE,245,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL 245 CE,ABCAPITAL31JUL25C245,2025-07-31,3100,0.05
NFO,nse_fo,ABCAPITAL,35185,OPTSTK,PE,245,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL 245 PE,ABCAPITAL31JUL25P245,2025-07-31,3100,0.05
NFO,nse_fo,NIFTY,35221,OPTIDX,CE,30000,NIFTY,NIFTY 24th DEC 30000 CE,NIFTY24DEC25C30000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,35222,OPTIDX,PE,30000,NIFTY,NIFTY 24th DEC 30000 PE,NIFTY24DEC25P30000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,35229,OPTIDX,CE,30000,NIFTY,NIFTY 25th JUN26 30000 CE,NIFTY25JUN26C30000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,35231,OPTIDX,PE,30000,NIFTY,NIFTY 25th JUN26 30000 PE,NIFTY25JUN26P30000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,35235,OPTIDX,CE,30000,NIFTY,NIFTY 31st DEC26 30000 CE,NIFTY31DEC26C30000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,35237,OPTIDX,PE,30000,NIFTY,NIFTY 31st DEC26 30000 PE,NIFTY31DEC26P30000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,35262,OPTIDX,CE,30000,NIFTY,NIFTY 24th JUN27 30000 CE,NIFTY24JUN27C30000,2027-06-24,75,0.05
NFO,nse_fo,NIFTY,35263,OPTIDX,PE,30000,NIFTY,NIFTY 24th JUN27 30000 PE,NIFTY24JUN27P30000,2027-06-24,75,0.05
NFO,nse_fo,ANGELONE,35338,OPTSTK,CE,3300,ANGEL ONE LIMITED,ANGELONE JUL 3300 CE,ANGELONE31JUL25C3300,2025-07-31,250,0.05
NFO,nse_fo,ANGELONE,35341,OPTSTK,PE,3300,ANGEL ONE LIMITED,ANGELONE JUL 3300 PE,ANGELONE31JUL25P3300,2025-07-31,250,0.05
NFO,nse_fo,NIFTY,35346,OPTIDX,CE,30000,NIFTY,NIFTY 30th DEC27 30000 CE,NIFTY30DEC27C30000,2027-12-30,75,0.05
NFO,nse_fo,NIFTY,35347,OPTIDX,PE,30000,NIFTY,NIFTY 30th DEC27 30000 PE,NIFTY30DEC27P30000,2027-12-30,75,0.05
NFO,nse_fo,NIFTY,35352,OPTIDX,CE,30000,NIFTY,NIFTY 29th JUN28 30000 CE,NIFTY29JUN28C30000,2028-06-29,75,0.05
NFO,nse_fo,NIFTY,35353,OPTIDX,PE,30000,NIFTY,NIFTY 29th JUN28 30000 PE,NIFTY29JUN28P30000,2028-06-29,75,0.05
NFO,nse_fo,BSE,35367,OPTSTK,PE,3250,BSE LIMITED,BSE JUL 3250 PE,BSE31JUL25P3250,2025-07-31,375,0.05
NFO,nse_fo,ABCAPITAL,35394,OPTSTK,CE,277.5,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL 277.5 CE,ABCAPITAL31JUL25C277.5,2025-07-31,3100,0.05
NFO,nse_fo,ABCAPITAL,35396,OPTSTK,PE,277.5,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL 277.5 PE,ABCAPITAL31JUL25P277.5,2025-07-31,3100,0.05
NFO,nse_fo,GLENMARK,35719,OPTSTK,CE,1860,GLENMARK PHARMACEUTICALS,GLENMARK JUL 1860 CE,GLENMARK31JUL25C1860,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,35720,OPTSTK,PE,1860,GLENMARK PHARMACEUTICALS,GLENMARK JUL 1860 PE,GLENMARK31JUL25P1860,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,35721,OPTSTK,CE,2040,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2040 CE,GLENMARK31JUL25C2040,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,35728,OPTSTK,PE,2040,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2040 PE,GLENMARK31JUL25P2040,2025-07-31,375,0.05
NFO,nse_fo,AUBANK,35760,OPTSTK,CE,855,AU SMALL FINANCE BANK LTD,AUBANK JUL 855 CE,AUBANK31JUL25C855,2025-07-31,1000,0.05
NFO,nse_fo,BHARATFORG,35792,OPTSTK,CE,1480,BHARAT FORGE LTD,BHARATFORG JUL 1480 CE,BHARATFORG31JUL25C1480,2025-07-31,500,0.05
NFO,nse_fo,BHARATFORG,35793,OPTSTK,PE,1480,BHARAT FORGE LTD,BHARATFORG JUL 1480 PE,BHARATFORG31JUL25P1480,2025-07-31,500,0.05
NFO,nse_fo,AUBANK,35828,OPTSTK,CE,940,AU SMALL FINANCE BANK LTD,AUBANK JUL 940 CE,AUBANK31JUL25C940,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35829,OPTSTK,PE,940,AU SMALL FINANCE BANK LTD,AUBANK JUL 940 PE,AUBANK31JUL25P940,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35842,OPTSTK,CE,960,AU SMALL FINANCE BANK LTD,AUBANK JUL 960 CE,AUBANK31JUL25C960,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35843,OPTSTK,PE,960,AU SMALL FINANCE BANK LTD,AUBANK JUL 960 PE,AUBANK31JUL25P960,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35846,OPTSTK,CE,850,AU SMALL FINANCE BANK LTD,AUBANK AUG 850 CE,AUBANK28AUG25C850,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35847,OPTSTK,PE,850,AU SMALL FINANCE BANK LTD,AUBANK AUG 850 PE,AUBANK28AUG25P850,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35848,OPTSTK,CE,870,AU SMALL FINANCE BANK LTD,AUBANK AUG 870 CE,AUBANK28AUG25C870,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35849,OPTSTK,PE,870,AU SMALL FINANCE BANK LTD,AUBANK AUG 870 PE,AUBANK28AUG25P870,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35852,OPTSTK,CE,960,AU SMALL FINANCE BANK LTD,AUBANK AUG 960 CE,AUBANK28AUG25C960,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35853,OPTSTK,PE,960,AU SMALL FINANCE BANK LTD,AUBANK AUG 960 PE,AUBANK28AUG25P960,2025-08-28,1000,0.05
NFO,nse_fo,BIOCON,35887,OPTSTK,CE,410,BIOCON LIMITED.,BIOCON JUL 410 CE,BIOCON31JUL25C410,2025-07-31,2500,0.05
