index,stock_name,total_qty,avg_price,total_value_sum,transactions_detail
0,ADANIPOWER,25,129.58,3239.5000000000005,14 Aug 2024 25 x 129.58
1,AIAENG,2,3941.95,7883.9,06 Feb 2024 2 x 3941.95
2,ARE&M,18,1237.93,22282.7,02 Jul 2024 10 x 1439.43; 25 Aug 2025 8 x 986.05
3,CAMS,1,4121.0,4121.0,08 Jul 2025 1 x 4121.0
4,CDSL,3,1556.27,4668.8,11 Jul 2025 1 x 1700.2; 31 Jul 2025 2 x 1484.3
5,HDFCBANK,3,991.1,2973.3,17 Nov 2025 3 x 991.1
6,HINDUNILVR,4,2586.28,10345.1,12 Dec 2023 2 x 2494.55; 04 Sep 2025 2 x 2678.0
7,IRB,213,61.22,13039.39,06 Feb 2024 130 x 68.46; 26 Jun 2025 30 x 65.5; 26 Sep 2025 53 x 41.03
8,IRCTC,8,742.11,5936.900000000001,11 Jan 2024 1 x 944.5; 04 Sep 2025 7 x 713.2
9,IRFC,12,168.9,2026.8000000000002,16 Jan 2024 12 x 168.9
10,KEC,4,843.25,3373.0,02 Jul 2025 2 x 900.0; 06 Nov 2025 2 x 786.5
11,LICI,1,929.0,929.0,19 Jun 2025 1 x 929.0
12,NBCC,20,120.2,2404.0,13 Jun 2025 20 x 120.2
13,OBEROIRLTY,2,1747.1,3494.2,04 Jul 2025 1 x 1861.0; 31 Jul 2025 1 x 1633.2
14,OLECTRA,4,1711.72,6846.88,01 Jul 2024 4 x 1711.72
15,RVNL,30,360.41,10812.3,04 Dec 2024 10 x 447.0; 31 Jul 2025 3 x 349.3; 07 Aug 2025 1 x 342.0; 28 Aug 2025 15 x 308.1; 17 Nov 2025 1 x 330.9
16,TATAPOWER,5,432.4,2162.0,26 Jun 2024 5 x 432.4
17,TCS,3,3145.73,9437.2,19 May 2025 1 x 3505.0; 31 Jul 2025 1 x 3037.2; 25 Sep 2025 1 x 2895.0
18,TECHM,1,1649.3,1649.3,13 Jun 2025 1 x 1649.3
19,TRITURBINE,3,560.0,1680.0,23 Jul 2025 1 x 644.0; 07 Aug 2025 2 x 518.0
