stock_name,Current Holding Qty,Net Value (Investment - Proceeds),Total Transacted Qty,Total Transactions,Avg Buy Price (For Holdings)
ADANIPOWER,5,3239.5499999999997,5,1,647.91
AIAENG,2,7883.9,2,1,3941.95
ARE&M,18,22282.7,18,2,1237.93
CAMS,1,4121.0,1,1,4121.0
CDSL,3,4668.8,3,2,1556.27
HDFCBANK,3,2973.3,3,1,991.1
IRB,130,8899.8,130,1,68.46
IRCTC,1,944.5,1,1,944.5
IRFC,12,2026.8000000000002,12,1,168.9
KEC,4,3373.0,4,2,843.25
LICI,1,929.0,1,1,929.0
NBCC,20,2404.0,20,1,120.2
OBEROIRLTY,2,3494.2,2,2,1747.1
OLECTRA,4,6846.88,4,1,1711.72
RVNL,30,10812.3,30,5,360.41
TATAPOWER,5,2162.0,5,1,432.4
TCS,3,9437.2,3,3,3145.73
TECHM,1,1649.3,1,1,1649.3
TRITURBINE,3,1680.0,3,2,560.0
