index,date,stock_name,qty,price,demat
1,12 Dec 2023,HINDUNILVR,2,2494.55,KITE-M
2,11 Jan 2024,IRCTC,1,944.5,KITE-M
3,16 Jan 2024,IRFC,12,168.9,KITE-M
4,06 Feb 2024,AIAENG,2,3941.95,KITE-M
5,06 Feb 2024,IRB,130,68.46,KITE-M
6,26 Jun 2024,TATAPOWER,5,432.4,KITE-M
7,01 Jul 2024,OLECTRA,4,1711.72,KITE-M
8,02 Jul 2024,ARE&M,10,1439.43,KITE-M
9,14 Aug 2024,ADANIPOWER,5,647.91,KITE-M
10,04 Dec 2024,RVNL,10,447.0,KITE-N
11,19 May 2025,TCS,1,3505.0,KITE-N
12,13 Jun 2025,TECHM,1,1649.3,AB
13,13 Jun 2025,NBCC,20,120.2,AB
14,19 Jun 2025,LICI,1,929.0,KITE-N
15,02 Jul 2025,KEC,2,900.0,KITE-N
16,04 Jul 2025,OBEROIRLTY,1,1861.0,KITE-N
17,08 Jul 2025,CAMS,1,4121.0,KITE-N
18,11 Jul 2025,CDSL,1,1700.2,KITE-N
19,23 Jul 2025,TRITURBINE,1,644.0,KITE-N
20,31 Jul 2025,OBEROIRLTY,1,1633.2,KITE-N
21,31 Jul 2025,CDSL,2,1484.3,KITE-N
22,31 Jul 2025,RVNL,3,349.3,KITE-N
23,31 Jul 2025,TCS,1,3037.2,KITE-N
24,07 Aug 2025,TRITURBINE,2,518.0,KITE-N
25,07 Aug 2025,RVNL,1,342.0,KITE-N
